time_index,sender,modality,probe,value
0,0,moisture,M1,38.015
0,0,moisture,M2,40.995000000000005
0,0,rain,R,0.0
0,0,temperature,T1,24.35
0,0,temperature,T2,24.43
0,3,moisture,M1,48.25
0,3,moisture,M2,45.88
0,3,rain,R,500.0
0,3,temperature,T1,25.09
0,3,temperature,T2,23.15
1,1,moisture,M1,72.07
1,1,moisture,M2,81.29
1,1,rain,R,0.0
1,1,temperature,T1,24.22
1,1,temperature,T2,24.29
1,4,moisture,M1,28.84
1,4,moisture,M2,38.56
1,4,rain,R,0.0
1,4,temperature,T1,24.42
1,4,temperature,T2,24.47
2,1,moisture,M1,72.18
2,1,moisture,M2,81.44
2,1,rain,R,0.0
2,1,temperature,T1,24.29
2,1,temperature,T2,24.35
2,4,moisture,M1,28.76
2,4,moisture,M2,38.48
2,4,rain,R,0.0
2,4,temperature,T1,24.44
2,4,temperature,T2,24.48
3,1,moisture,M1,72.14
3,1,moisture,M2,81.5
3,1,rain,R,0.0
3,1,temperature,T1,24.2
3,1,temperature,T2,24.33
4,0,moisture,M1,37.72
4,0,moisture,M2,40.6
4,0,rain,R,0.0
4,0,temperature,T1,24.2
4,0,temperature,T2,24.3
5,4,moisture,M1,28.52
5,4,moisture,M2,38.175
5,4,rain,R,0.0
5,4,temperature,T1,24.4
5,4,temperature,T2,24.46
6,0,moisture,M1,37.74
6,0,moisture,M2,40.61
6,0,rain,R,0.0
6,0,temperature,T1,24.27
6,0,temperature,T2,24.37
6,3,moisture,M1,48.22
6,3,moisture,M2,45.96
6,3,rain,R,0.0
6,3,temperature,T1,25.11
6,3,temperature,T2,23.13
7,3,moisture,M1,48.31
7,3,moisture,M2,45.91
7,3,rain,R,0.0
7,3,temperature,T1,25.07
7,3,temperature,T2,23.07
7,4,moisture,M1,28.95
7,4,moisture,M2,38.57
7,4,rain,R,0.0
7,4,temperature,T1,24.38
7,4,temperature,T2,24.45
8,0,moisture,M1,37.64
8,0,moisture,M2,40.54
8,0,rain,R,0.0
8,0,temperature,T1,24.25
8,0,temperature,T2,24.34
8,1,moisture,M1,72.15
8,1,moisture,M2,81.48
8,1,rain,R,0.0
8,1,temperature,T1,24.2
8,1,temperature,T2,24.28
9,3,moisture,M1,48.14
9,3,moisture,M2,45.81
9,3,rain,R,0.0
9,3,temperature,T1,25.04
9,3,temperature,T2,23.12
9,4,moisture,M1,29.01
9,4,moisture,M2,38.68
9,4,rain,R,0.0
9,4,temperature,T1,24.44
9,4,temperature,T2,24.45
10,0,moisture,M1,37.69
10,0,moisture,M2,40.55
10,0,rain,R,0.0
10,0,temperature,T1,24.28
10,0,temperature,T2,24.35
10,1,moisture,M1,78.35
10,1,moisture,M2,88.34
10,1,rain,R,3000.0
10,1,temperature,T1,24.13
10,1,temperature,T2,24.25
10,3,moisture,M1,48.05
10,3,moisture,M2,45.52
10,3,rain,R,0.0
10,3,temperature,T1,25.03
10,3,temperature,T2,23.1
11,1,moisture,M1,78.61
11,1,moisture,M2,88.79
11,1,rain,R,0.0
11,1,temperature,T1,24.16
11,1,temperature,T2,24.26
12,1,moisture,M1,78.43
12,1,moisture,M2,88.51
12,1,rain,R,0.0
12,1,temperature,T1,24.1
12,1,temperature,T2,24.23
13,0,moisture,M1,37.56
13,0,moisture,M2,40.47
13,0,rain,R,0.0
13,0,temperature,T1,24.23
